
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::        (v2.0.5.RELEASE)

2018-10-11 13:56:32.531  INFO 49209 --- [           main] c.hepengju.datasync.DataSyncApplication  : Starting DataSyncApplication v0.1 on ftzmisdbsrv with PID 49209 (/home/db2inst1/data-sync-0.1.jar started by db2inst1 in /home/db2inst1)
2018-10-11 13:56:32.551  INFO 49209 --- [           main] c.hepengju.datasync.DataSyncApplication  : No active profile set, falling back to default profiles: default
2018-10-11 13:56:32.727  INFO 49209 --- [           main] s.c.a.AnnotationConfigApplicationContext : Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@5a709816: startup date [Thu Oct 11 13:56:32 CST 2018]; root of context hierarchy
2018-10-11 13:56:38.086  INFO 49209 --- [           main] c.h.datasync.service.ScheduleService     : runOnStart is true, now begin
2018-10-11 13:56:38.162  INFO 49209 --- [           main] c.h.datasync.service.ScheduleService     : schedule begin
2018-10-11 13:56:39.174  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=CK_CZYH_TMP, tarDbName=oracle-crmai, tarTableName=CK_CZYH_TMP, moveMaxCount=null)
2018-10-11 13:56:39.176  INFO 49209 --- [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2018-10-11 13:56:44.276  INFO 49209 --- [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2018-10-11 13:56:44.279  INFO 49209 --- [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-2 - Starting...
2018-10-11 13:56:45.516  INFO 49209 --- [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-2 - Start completed.
2018-10-11 13:56:45.790  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : CK_CZYH_TMP delCount: 0
2018-10-11 13:56:46.568  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : CK_CZYH_TMP readyCount: 0
2018-10-11 13:56:46.614  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=CK_CZYH_TMP, tarDbName=oracle-crmai, tarTableName=CK_CZYH_TMP, moveMaxCount=null)
2018-10-11 13:56:46.614  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=CK_SY_TMP, tarDbName=oracle-crmai, tarTableName=CK_SY_TMP, moveMaxCount=null)
2018-10-11 13:56:46.699  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : CK_SY_TMP delCount: 0
2018-10-11 13:56:46.882  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : CK_SY_TMP readyCount: 0
